record_id,training_name,training_category,taken_date,hours,cost_jpy,completion_status,emp_id,last_name,gender,age,dept,job_title,grade,hire_date,termination_date,termination_reason,latest_rating,total_promotions,ever_promoted,review_count
TR000001,Python プログラミング実践,テクニカル,2026-03-19,40,180000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000002,ロジカルシンキング,ビジネススキル,2025-12-04,16,60000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000003,プレゼンテーション実践,ビジネススキル,2024-06-20,8,40000,途中離脱,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000004,ハラスメント防止 eラーニング,eラーニング,2025-05-06,2,8000,未着手,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000005,Excel スキルアップ eラーニング,eラーニング,2025-12-25,6,15000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000006,タイムマネジメント eラーニング,eラーニング,2024-10-11,4,12000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000007,タイムマネジメント eラーニング,eラーニング,2025-04-25,4,12000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000008,Excel スキルアップ eラーニング,eラーニング,2025-01-09,6,15000,途中離脱,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000009,独占禁止法 (年次),コンプライアンス,2024-08-05,2,5000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000010,独占禁止法 (年次),コンプライアンス,2025-03-02,2,5000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000011,個人情報保護 (年次),コンプライアンス,2024-08-08,2,5000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000012,独占禁止法 (年次),コンプライアンス,2025-06-26,2,5000,完了,E000001,田中,男,28,Marketing,Senior Staff,2,2016-02-02,,,3.0,1.0,True,4.0
TR000013,マネジメント実践,リーダーシップ,2025-07-29,24,150000,完了,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000014,セキュリティエンジニアリング,テクニカル,2025-11-17,24,140000,完了,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000015,ビジネスライティング,ビジネススキル,2026-03-15,8,35000,途中離脱,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000016,ハラスメント防止 eラーニング,eラーニング,2024-05-26,2,8000,途中離脱,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000017,情報セキュリティ基礎 eラーニング,eラーニング,2024-10-17,3,10000,完了,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000018,情報セキュリティ基礎 eラーニング,eラーニング,2024-07-18,3,10000,未着手,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000019,Excel スキルアップ eラーニング,eラーニング,2025-08-12,6,15000,完了,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000020,タイムマネジメント eラーニング,eラーニング,2026-03-19,4,12000,途中離脱,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000021,インサイダー取引 (年次),コンプライアンス,2024-11-12,2,5000,完了,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000022,独占禁止法 (年次),コンプライアンス,2025-09-12,2,5000,完了,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000023,独占禁止法 (年次),コンプライアンス,2025-03-04,2,5000,完了,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000024,個人情報保護 (年次),コンプライアンス,2024-05-02,2,5000,完了,E000002,前田,男,31,Engineering,Staff,1,2018-09-13,,,3.0,1.0,True,4.0
TR000025,エグゼクティブリーダーシップ,リーダーシップ,2025-08-26,40,400000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000026,Python プログラミング実践,テクニカル,2025-01-27,40,180000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000027,データベース設計,テクニカル,2025-10-06,16,70000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000028,交渉術,ビジネススキル,2025-03-08,8,45000,途中離脱,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
TR000029,ロジカルシンキング,ビジネススキル,2026-02-27,16,60000,完了,E000003,山下,男,39,R&D,Assistant Manager,3,2013-11-07,,,4.0,1.0,True,4.0
