order_line_id,order_id,order_datetime,quantity,unit_price,line_total,channel,device,product_id,product_name,major_category,minor_category,customer_id,customer_last_name,gender,age,prefecture,register_date,churn_date,acquisition_channel,total_orders,total_spent,first_month_orders,loyalty_tier
OL0000001,ORD000001,2025-03-05 18:22:00,1,6800,6800,Referral,Tablet,P0041,財布,ファッション,小物,C000047,青木,女,24.0,兵庫県,2024-12-27,,Organic Search,40.0,419593.0,4.0,VIP
OL0000002,ORD000002,2026-03-02 18:01:00,1,480,480,Organic Search,Mobile,P0099,ツナ缶3個,食品,缶詰,C000083,伊藤,男,29.0,埼玉県,2024-05-02,,Direct,47.0,444588.0,3.0,VIP
OL0000003,ORD000002,2026-03-02 18:01:00,1,3200,2880,Organic Search,Mobile,P0002,オーガニックTシャツ,ファッション,トップス,C000083,伊藤,男,29.0,埼玉県,2024-05-02,,Direct,47.0,444588.0,3.0,VIP
OL0000004,ORD000002,2026-03-02 18:01:00,1,3800,3230,Organic Search,Mobile,P0017,ショートパンツ,ファッション,ボトムス,C000083,伊藤,男,29.0,埼玉県,2024-05-02,,Direct,47.0,444588.0,3.0,VIP
OL0000005,ORD000002,2026-03-02 18:01:00,1,280,280,Organic Search,Mobile,P0223,ラップ,ホーム・日用品,キッチン用品,C000083,伊藤,男,29.0,埼玉県,2024-05-02,,Direct,47.0,444588.0,3.0,VIP
OL0000006,ORD000003,2026-01-27 13:17:00,1,12800,12800,Direct,Mobile,P0180,プレミアム美容液,コスメ・ビューティ,スキンケア,,,,,,,,,,,,
OL0000007,ORD000004,2025-10-15 20:24:00,1,4800,4800,SNS Ad,Mobile,P0200,高級シャンプー,コスメ・ビューティ,ヘアケア,,,,,,,,,,,,
OL0000008,ORD000004,2025-10-15 20:24:00,1,22800,22800,SNS Ad,Mobile,P0075,マッサージ器,家電,美容家電,,,,,,,,,,,,
OL0000009,ORD000005,2026-03-27 20:14:00,1,4800,4800,Direct,Mobile,P0200,高級シャンプー,コスメ・ビューティ,ヘアケア,C001750,石井,女,43.0,京都府,2024-08-20,,SNS Ad,33.0,376697.0,4.0,VIP
OL0000010,ORD000005,2026-03-27 20:14:00,1,1800,1710,Direct,Mobile,P0214,日焼け止めスプレー,コスメ・ビューティ,UV対策,C001750,石井,女,43.0,京都府,2024-08-20,,SNS Ad,33.0,376697.0,4.0,VIP
OL0000011,ORD000006,2025-05-19 14:59:00,1,1800,1800,Organic Search,Mobile,P0161,ヨガ入門,書籍,実用,C001620,山口,男,55.0,埼玉県,2025-02-20,,Paid Search,8.0,68120.0,1.0,Frequent
OL0000012,ORD000006,2025-05-19 14:59:00,2,12800,25600,Organic Search,Mobile,P0082,外付けHDD,家電,PC・スマホ,C001620,山口,男,55.0,埼玉県,2025-02-20,,Paid Search,8.0,68120.0,1.0,Frequent
OL0000013,ORD000007,2024-11-23 14:32:00,1,580,522,SNS Ad,PC,P0229,ゴミ袋45L 30枚,ホーム・日用品,紙製品,C001986,前田,男,56.0,千葉県,2024-06-08,,Organic Search,13.0,107473.0,0.0,Loyal
OL0000014,ORD000008,2025-04-10 16:43:00,2,4200,7980,Organic Search,Mobile,P0181,クリーム,コスメ・ビューティ,スキンケア,C000834,橋本,女,49.0,埼玉県,2025-01-24,,Organic Search,21.0,230760.0,3.0,VIP
OL0000015,ORD000008,2025-04-10 16:43:00,1,2800,2800,Organic Search,Mobile,P0205,ボディクリーム,コスメ・ビューティ,ボディケア,C000834,橋本,女,49.0,埼玉県,2025-01-24,,Organic Search,21.0,230760.0,3.0,VIP
OL0000016,ORD000008,2025-04-10 16:43:00,1,2280,1938,Organic Search,Mobile,P0137,クラフトビール6本,食品,お酒,C000834,橋本,女,49.0,埼玉県,2025-01-24,,Organic Search,21.0,230760.0,3.0,VIP
OL0000017,ORD000009,2025-01-25 21:37:00,1,12800,10880,SNS Ad,PC,P0008,カシミアニット,ファッション,トップス,C001236,山口,男,40.0,東京都,2024-08-01,,Paid Search,11.0,114803.0,0.0,Loyal
OL0000018,ORD000009,2025-01-25 21:37:00,1,780,741,SNS Ad,PC,P0100,サバ缶3個,食品,缶詰,C001236,山口,男,40.0,東京都,2024-08-01,,Paid Search,11.0,114803.0,0.0,Loyal
OL0000019,ORD000010,2025-09-02 22:57:00,1,12800,12800,Organic Search,PC,P0026,ジャケット,ファッション,アウター,,,,,,,,,,,,
OL0000020,ORD000011,2025-10-28 20:25:00,1,4800,4800,Email,PC,P0046,アクセサリー,ファッション,小物,C000937,長谷川,男,48.0,東京都,2024-07-15,,SNS Ad,8.0,94128.0,1.0,Loyal
OL0000021,ORD000012,2025-04-20 15:20:00,1,2800,2800,Paid Search,Tablet,P0194,リップスティック,コスメ・ビューティ,メイク,C000262,中村,女,29.0,神奈川県,2025-02-11,,SNS Ad,6.0,57900.0,0.0,Frequent
OL0000022,ORD000013,2025-11-23 14:29:00,1,6800,6800,Organic Search,Mobile,P0179,美容液,コスメ・ビューティ,スキンケア,C001774,坂本,女,51.0,福岡県,2024-09-05,,Organic Search,11.0,110185.0,1.0,Loyal
OL0000023,ORD000013,2025-11-23 14:29:00,1,2800,2800,Organic Search,Mobile,P0196,チーク,コスメ・ビューティ,メイク,C001774,坂本,女,51.0,福岡県,2024-09-05,,Organic Search,11.0,110185.0,1.0,Loyal
OL0000024,ORD000013,2025-11-23 14:29:00,1,3800,3610,Organic Search,Mobile,P0184,スペシャルマスク,コスメ・ビューティ,スキンケア,C001774,坂本,女,51.0,福岡県,2024-09-05,,Organic Search,11.0,110185.0,1.0,Loyal
