purchase_id,purchase_date,category,product_name,amount,channel,store_name,customer_id,customer_last_name,gender,age,prefecture,register_date,total_purchases,total_spent,customer_segment,is_first_purchase,days_since_last_in_category
PR0000004,2025-05-19,PC・タブレット,ノートPC 15型,117191,店舗,横浜駅前店,C00001,田中,男,55,神奈川県,2024-08-13,5,979774,VIP,False,
PR0000005,2025-06-04,エアコン,エアコン 14畳用,245112,EC,,C00001,田中,男,55,神奈川県,2024-08-13,5,979774,VIP,False,
PR0000003,2025-01-26,カメラ・ビデオ,ドローン,138878,店舗,新宿店,C00001,田中,男,55,神奈川県,2024-08-13,5,979774,VIP,False,
PR0000002,2025-07-27,スマートフォン,スタンダード 128GB,170748,EC,,C00001,田中,男,55,神奈川県,2024-08-13,5,979774,VIP,False,
PR0000001,2024-10-06,洗濯機,コンパクト洗濯機,307845,EC,,C00001,田中,男,55,神奈川県,2024-08-13,5,979774,VIP,True,
PR0000007,2025-04-29,テレビ,有機EL 55型,57733,店舗,秋葉原店,C00002,前田,女,51,広島県,2021-09-10,3,331219,Loyal,False,
PR0000006,2024-07-24,洗濯機,ドラム式洗濯機,230292,店舗,札幌駅前店,C00002,前田,女,51,広島県,2021-09-10,3,331219,Loyal,True,
PR0000008,2025-02-22,美容家電・小物,ヘアアイロン,43194,店舗,秋葉原店,C00002,前田,女,51,広島県,2021-09-10,3,331219,Loyal,False,
PR0000011,2025-12-31,エアコン,エアコン 10畳用,170287,店舗,大阪梅田店,C00003,高橋,女,39,広島県,2022-03-10,3,583871,Loyal,False,
PR0000009,2023-08-04,オーディオ,ホームオーディオ,184006,店舗,名古屋栄店,C00003,高橋,女,39,広島県,2022-03-10,3,583871,Loyal,True,
PR0000010,2025-03-10,テレビ,有機EL 55型,229578,店舗,大阪梅田店,C00003,高橋,女,39,広島県,2022-03-10,3,583871,Loyal,False,
PR0000014,2025-06-30,カメラ・ビデオ,交換レンズ,162137,EC,,C00004,山本,男,53,大阪府,2023-06-27,3,360003,Loyal,False,
PR0000013,2025-06-06,テレビ,有機EL 75型,169122,EC,,C00004,山本,男,53,大阪府,2023-06-27,3,360003,Loyal,True,
PR0000012,2025-07-13,美容家電・小物,ヘアアイロン,28744,EC,,C00004,山本,男,53,大阪府,2023-06-27,3,360003,Loyal,False,
PR0000016,2025-07-22,スマートフォン,Pro モデル 512GB,177992,EC,,C00005,山本,女,52,広島県,2025-04-08,2,419662,Regular,True,
PR0000015,2025-09-06,テレビ,4K テレビ 50型,241670,店舗,福岡天神店,C00005,山本,女,52,広島県,2025-04-08,2,419662,Regular,False,
PR0000017,2025-03-07,カメラ・ビデオ,アクションカメラ,211232,店舗,名古屋栄店,C00006,山田,男,49,東京都,2023-07-12,2,290160,Regular,False,
PR0000018,2024-08-28,ゲーム・玩具,ゲームソフト,78928,店舗,名古屋栄店,C00006,山田,男,49,東京都,2023-07-12,2,290160,Regular,True,
